domain,page,page_title,visits TS1528824914.80682,pageviews TS1528824914.80682,users TS1528824914.80682,pageviews_per_session TS1528824914.80682,avg_session_duration TS1528824914.80682,exits TS1528824914.80682,active_visitors TS1528824914.80682,visits TS1528824916.972721,pageviews TS1528824916.972721,users TS1528824916.972721,pageviews_per_session TS1528824916.972721,avg_session_duration TS1528824916.972721,exits TS1528824916.972721,active_visitors TS1528824916.972721
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,3330,7085,1221,2.1276276276276276,272.6342342342342,3681,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,2793,5808,2405,2.079484425349087,125.15968492660222,2719,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,2627,9526,2035,3.6261895698515416,234.31023981728208,2571,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1517,3848,1165,2.5365853658536586,94.24456163480554,1720,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1461,2349,740,1.6078028747433264,82.71457905544148,1461,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1461,3108,1535,2.127310061601643,151.07186858316223,1332,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1276,2201,740,1.724921630094044,132.67398119122257,1313,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1258,2978,1128,2.3672496025437204,109.70747217806041,1239,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1239,2645,1017,2.134786117836965,152.64003228410007,1313,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1091,6363,703,5.8322639780018335,203.64527956003667,1073,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1073,2146,388,2.0,322.11649580615097,1073,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1054,2553,888,2.4222011385199242,189.926944971537,999,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1036,1258,666,1.2142857142857142,8.32046332046332,1017,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,1017,7214,832,7.093411996066863,240.9803343166175,1017,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,980,37643,92,38.41122448979592,2323.24693877551,1017,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,851,6104,425,7.172737955346651,913.9341950646299,962,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,814,8306,129,10.203931203931203,846.2174447174447,758,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,814,666,111,0.8181818181818182,243.15233415233416,499,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,740,3700,795,5.0,208.27567567567567,777,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,703,1591,629,2.263157894736842,61.018492176386914,721,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,684,2423,462,3.5423976608187133,137.02923976608187,703,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,684,6974,499,10.195906432748538,434.96783625730995,684,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,666,8306,462,12.471471471471471,507.18918918918916,666,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,666,2719,92,4.0825825825825826,223.6951951951952,851,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,629,1868,111,2.9697933227344993,212.38632750397457,666,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,629,1258,555,2.0,53.111287758346585,555,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,573,3182,573,5.553228621291448,145.94938917975568,629,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,555,5309,111,9.565765765765766,1627.9387387387387,444,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,518,1276,832,2.4633204633204633,100.41698841698842,647,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,407,1406,18,3.4545454545454546,706.2334152334153,407,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,407,1535,573,3.7714987714987713,181.25061425061426,518,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,407,2645,129,6.498771498771498,851.4447174447174,388,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,388,1147,555,2.9561855670103094,146.79123711340208,462,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,370,832,166,2.2486486486486488,340.3081081081081,370,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,370,2405,222,6.5,217.42432432432432,370,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,351,21938,111,62.5014245014245,981.1196581196581,333,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,296,555,203,1.875,193.79054054054055,222,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,259,277,259,1.0694980694980696,53.49420849420849,259,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,259,499,222,1.9266409266409266,396.5250965250965,203,
ers.usda.gov,,,205215,441986,151034,2.1537704358843164,164.16455912092198,204290,,240,333,259,1.3875,154.84166666666667,203,
